Subj,zygosity,Age,FE,Update_all,exp_all,fam_all,viv_all,neg_all,EEAll,learning_all,subjectivelearning,N_Correct_perc,Subj,FE,Gender,Age.Gender
24492,MZ,51,29.9,10.175,1.45,3.45,4,4.5,19.3,0.080869798,0.342076552,7.5,24492,29.9,1,51
24991,MZ,57,39.3,24.25,1.55,4.9,3.4,4.3,21.65,0.764798101,0.833985208,2.5,24991,39.3,1,57
24992,MZ,57,31.25,0.45,1.9,3.65,3.25,4.45,18.45,0.056069686,0.262080266,2.5,24992,31.25,1,57
25101,MZ,66,23.225,1.625,1.55,4.25,2.65,3.25,24.475,0.057219239,-0.169645059,5,25101,23.225,1,66
25102,MZ,66,26.9,-0.125,1.4,2.65,1.6,3.05,21.9,-0.017058863,-0.139011118,0,25102,26.9,1,66
25361,DZ,57,28.3,6.075,1.15,3.15,3.6,4.05,23.5,-0.014547821,0.504943786,7.5,25361,28.3,2,114
25362,DZ,57,30.575,2.425,1.1,2,2.6,3.8,20.275,0.16674846,0.186768334,0,25362,30.575,2,114
25751,DZ,60,25.575,7.775,1.5,3.5,4.4,4.35,22.625,0.335325731,0.489017297,2.5,25751,25.575,2,120
25752,DZ,60,23.475,10.4,1.4,1.7,2,4.1,21.475,0.516485991,0.661079743,7.5,25752,23.475,2,120
26331,MZ,53,46.65,9.95,1.75,3.7,2.8,4.45,16.65,0.477306515,0.694304903,0,26331,46.65,2,106
26332,MZ,53,31.175,-0.725,1.35,2.9,4.4,5.3,25.425,0.09646049,0.393016246,2.5,26332,31.175,2,106
30211,MZ,57,21.8,-0.325,1.55,2.55,2.35,4.95,30.1,0.454373685,0.198476663,2.5,30211,21.8,1,57
30212,MZ,57,42.725,17.675,1.45,3.65,4.4,2.85,20.275,0.489672272,0.733601238,5,30212,42.725,1,57
30791,MZ,68,29.725,0.975,1.5,3.25,4.35,1.85,20.425,0.140196581,0.024146806,0,30791,29.725,1,68
30792,MZ,68,26.8,4.775,1.6,3.1,3.1,3.55,19.55,0.06541958,0.23135533,2.5,30792,26.8,1,68
30921,DZ,58,19.375,7.4,1.45,2.6,4.05,3.85,23.575,0.130146238,0.715824415,2.5,30921,19.375,1,58
30922,DZ,58,37.15,7.9,2,4.05,3.6,3.7,24.5,0.218517909,0.47197226,0,30922,37.15,1,58
33191,DZ,58,48.775,5.025,1.85,3.4,3.7,4.7,22.925,0.015881595,0.137211961,2.5,33191,48.775,1,58
33192,DZ,58,37.325,14.925,1.35,1.95,3.9,3.25,17.425,0.730313457,0.909703572,12.5,33192,37.325,1,58
33431,DZ,58,24.4,8.25,1.6,2.9,5.2,4.4,19.9,-0.117109003,0.313721299,2.5,33431,24.4,1,58
33432,DZ,58,37.225,9.15,1.2,2.15,1.95,4.6,20.375,0.349113558,0.284416609,15,33432,37.225,1,58
